Gene,pvals,p_fdr,log2_fold_change
NP_720488.1,0.0189714882383772,0.0573536195354644,-0.0284022598059006
NP_720489.1,0.00972065652912487,0.0398384228881917,0.000321507467049094
NP_720490.1,0.134616828636177,0.198430675167999,-0.115341690051268
NP_720491.1,0.0622521933545121,0.119210211907614,0.0625104236959051
NP_720492.1,0.0127509977725494,0.0461018228940594,0.0177348591193336
NP_720493.1,0.0297869698907718,0.075404286276006,0.0671050239740404
NP_720494.1,0.0345076058481284,0.0822250152384186,-0.0579564419877672
NP_720495.1,0.00398948410847997,0.0234412371328589,0.134301195963908
NP_720496.1,0.00123659471012176,0.0124474290270762,0.153038075714525
NP_720497.1,0.0163005223713473,0.0521582205741199,0.0941004310182415
NP_720498.1,0.0164722013574855,0.0524699877387221,-0.102398879111056
NP_720499.1,0.334845683361001,0.388373412495086,-0.14030992187254
NP_720500.1,0.075470064097799,0.136222462128128,-0.0738990844249504
NP_720501.1,0.0335504893309531,0.081142479752268,0.00171144101470561
NP_720502.1,0.167371591669234,0.229769410007028,0.0168128262152877
NP_720503.1,2.33643986080876e-08,5.08565076369374e-06,0.249448552696923
NP_720504.1,0.000163925858566466,0.00349055170577942,0.298683525962409
NP_720505.1,0.230130926282883,0.289362313599594,-0.092759798114554
NP_720506.1,0.000322854493084604,0.00564707099957802,0.0208275589861264
NP_720507.1,0.0159130316480177,0.0515658176848668,-0.0676440691363317
NP_720508.1,0.0158457011370453,0.0514788201118934,0.0257295503775002
NP_720509.1,0.0133959504193766,0.047199041135897,0.0649815830377358
NP_720510.1,0.0398965460873915,0.0904261910184046,0.136205269395363
NP_720511.1,0.0606892388142739,0.117187162607167,0.0128442337561871
NP_720512.1,0.020800430316802,0.0603674710972076,0.0146848475852188
NP_720513.1,0.0559925702445612,0.111700045935942,-0.0887706174960752
NP_720514.1,0.00135552784708249,0.013017054178601,0.196219240417857
NP_720515.1,0.450809207110139,0.498102220377193,-0.294870085125969
NP_720516.1,0.114654277375992,0.178260102682197,-0.0651720096907901
NP_720517.1,0.312345974972835,0.366618193512153,-0.215596805648081
NP_720518.1,0.212404597408355,0.272852856605224,-0.222433839230752
NP_720519.1,0.181739300271415,0.243413087385019,-0.199351627916917
NP_720520.1,0.520304588662895,0.563759230747019,-0.254325002821653
NP_720522.1,0.356724740550518,0.408430021471926,-0.229172984973864
NP_720523.1,0.0273640401219939,0.0712847800518431,-1.19803062802361
NP_720524.1,0.228029638967009,0.287458212829067,-1.1063523334413
NP_720525.1,0.424384810710935,0.472906623539659,-0.316358729995186
NP_720526.1,0.267156054255013,0.324462932601098,-0.101908327245807
NP_720527.1,0.0109479469792599,0.042451369869485,0.0721939339148519
NP_720528.1,0.000416255663373644,0.00632127786472068,0.195854399122614
NP_720529.1,0.0144578304135809,0.0496892803161489,0.0732481463596751
NP_720530.1,0.00258359828084947,0.0184046146624877,0.101836603046688
NP_720531.1,0.0267846226402975,0.0704309741642184,0.0177521777885574
NP_720532.1,0.00155674728940895,0.0138045597886489,0.1775356131381
NP_720533.1,0.0106299245607755,0.0417150690873251,0.0946358517717228
NP_720534.1,0.00801398233738047,0.0357617116148709,0.0958238748436436
NP_720535.1,0.00144093412275265,0.013441856887964,0.183801039942023
NP_720536.1,0.00129636085587422,0.0126473814106833,0.214915857716361
NP_720537.1,0.0139215131738709,0.0485055117335076,0.109162022655782
NP_720538.1,0.000316259049282632,0.00559979269692028,0.241514677737268
NP_720539.1,0.00370040025385273,0.0226533878040547,0.429893964527299
NP_720540.1,0.000894071224752943,0.0102101904033583,0.160153647049297
NP_720541.1,0.0458531860075795,0.0986019663982967,-0.0624867111447989
NP_720542.1,0.70842969825261,0.741749748197148,-0.362909019418209
NP_720543.1,0.355842095934045,0.407657699377073,-0.308736658766001
NP_720545.1,0.161860688665256,0.226166254704163,-0.826955158478873
NP_720546.1,0.0849571196128497,0.14599210291366,-0.782328219586235
NP_720547.1,0.913959174530353,0.929136493463914,-0.442618383041149
NP_720548.1,0.997234779183176,0.999275157248001,-0.469466259110331
NP_720549.1,0.950846388200774,0.958676312138609,-0.42261598256055
NP_720550.1,0.0330705763350787,0.0804509931966767,0.174255901319881
NP_720551.1,0.000112442844037549,0.00274629851342606,0.152514303924724
NP_720552.3,0.00571940202188907,0.0293306506829337,0.173890212930123
NP_720553.1,0.00176288622098072,0.0149833030456559,0.136404706245021
NP_720554.1,0.103024992008628,0.165295625999101,-0.0339136998073494
NP_720555.1,0.0068863270794005,0.0329905770254633,0.137884970225613
NP_720556.1,0.00331684851388901,0.0215503819076953,0.0577857450799755
NP_720557.1,0.268930994181002,0.326214128545253,-0.0866883933905006
NP_720558.1,0.150574797985827,0.215625752378827,-0.250835536031983
NP_720559.1,0.462648059991985,0.509745528416366,-0.164077093408031
NP_720560.1,0.231459672615786,0.290473733923335,-0.169048682996749
NP_720561.1,0.0315422214747709,0.0784152434886753,-0.0633199388035468
NP_720562.1,0.132010218414687,0.195735162426351,-0.0454400045370922
NP_720563.1,0.0327986402444488,0.0800156117545145,0.044517683123328
NP_720564.1,0.0184052158276674,0.0565138210131669,0.00248611334765973
NP_720565.1,0.0140597372303396,0.048748717228735,0.0480188353374434
NP_720566.1,0.00967452222898147,0.0398159433751569,0.111714994352221
NP_720569.1,0.0109606560364987,0.042451369869485,0.133933746586193
NP_720573.3,0.0128745806816805,0.0463626903592134,0.109630846929354
NP_720574.1,0.297664687543746,0.352341463986827,0.0144634079836388
NP_720575.1,0.0213944656382831,0.0614266454804376,0.0414614896789637
NP_720576.1,0.293488154225969,0.348873358087787,-0.0642486428258748
NP_720577.1,0.0368378218951189,0.0860134601818093,0.0500075708899469
NP_720578.1,0.0414764738128306,0.0922274826326166,0.129032630884731
NP_720579.1,0.00563983362906816,0.0290748265245909,0.24084144148659
NP_720580.1,0.0586708802264331,0.1152358340622,0.205414262663702
NP_720581.1,0.0173926307568112,0.0546028263663352,0.17747481531884
NP_720583.1,0.921755514067382,0.934720972099562,-0.52005911840662
NP_720584.1,0.989911560410031,0.993461448177895,-0.468391269739924
NP_720585.1,0.222749375679278,0.283170685889491,-0.735356726233956
NP_720588.1,0.310604314453202,0.365449760969263,-0.210478547682909
